keyword,search_intent,funnel_stage,cluster,target_page_type,priority_score,status,notes
"lien waiver",Informational,TOFU,lien-waiver-101,Pillar Page,2.8,not_started,"High volume head term — dominated by Levelset. Use as pillar anchor."
"lien waiver form",Transactional,BOFU,lien-waiver-forms,Landing Page,2.9,not_started,"Very high intent — people want to generate one NOW. Core product page."
"lien waiver template",Transactional,BOFU,lien-waiver-forms,Landing Page,2.8,not_started,"Same intent as 'form' — redirect or consolidate with form page."
"conditional lien waiver",Informational,MOFU,waiver-types,Blog Post,2.6,not_started,"Users learning about types — explain + CTA to generate."
"unconditional lien waiver",Informational,MOFU,waiver-types,Blog Post,2.6,not_started,"Pair with conditional article — link between them."
"conditional waiver and release on progress payment",Informational,MOFU,waiver-types,Blog Post,2.5,not_started,"California-specific statutory language — long tail, high intent."
"unconditional waiver and release on final payment",Informational,MOFU,waiver-types,Blog Post,2.5,not_started,"Final payment variant — high legal precision needed."
"lien waiver California",Informational,MOFU,state-specific,State Landing Page,2.9,not_started,"CA has mandatory statutory forms — huge volume. #1 priority state page."
"California lien waiver form",Transactional,BOFU,state-specific,State Landing Page,3.0,not_started,"Top priority — CA has most construction + most Hispanic workers."
"lien waiver Texas",Informational,MOFU,state-specific,State Landing Page,2.8,not_started,"TX mandatory forms — large Hispanic contractor population."
"Texas lien waiver form",Transactional,BOFU,state-specific,State Landing Page,2.9,not_started,"High intent — TX eliminated notarization requirement (HB 2237)."
"lien waiver Florida",Informational,MOFU,state-specific,State Landing Page,2.7,not_started,"FL allows non-statutory forms — more flexible but still important."
"lien waiver Arizona",Informational,MOFU,state-specific,State Landing Page,2.6,not_started,"AZ has mandatory statutory forms — good Hispanic contractor market."
"lien waiver Nevada",Informational,MOFU,state-specific,State Landing Page,2.4,not_started,"NV has mandatory forms — growing construction market."
"lien waiver Georgia",Informational,MOFU,state-specific,State Landing Page,2.4,not_started,"GA growing construction market with Hispanic workforce."
"free lien waiver form",Transactional,BOFU,lien-waiver-forms,Landing Page,2.7,not_started,"Free intent — capture with freemium model. Levelset dominates."
"lien waiver pdf",Transactional,BOFU,lien-waiver-forms,Landing Page,2.5,not_started,"Users want downloadable PDF — ObraKit generates these."
"mechanics lien",Informational,TOFU,mechanics-lien,Pillar Page,2.3,not_started,"Broader topic — lien waiver is subset. Good for topical authority."
"mechanics lien vs lien waiver",Informational,MOFU,mechanics-lien,Blog Post,2.4,not_started,"Common confusion — clarify the difference."
"how to file a mechanics lien",Informational,TOFU,mechanics-lien,Blog Post,2.2,not_started,"Broader than ObraKit's core but builds authority."
"subcontractor lien waiver",Informational,MOFU,subcontractor-payments,Blog Post,2.7,not_started,"Core audience keyword — subcontractors needing waivers."
"subcontractor payment rights",Informational,TOFU,subcontractor-payments,Blog Post,2.5,not_started,"TOFU content for subs learning about their rights."
"general contractor not paying subcontractor",Informational,TOFU,subcontractor-payments,Blog Post,2.6,not_started,"Pain point keyword — emotional, high engagement potential."
"pay when paid vs pay if paid",Informational,MOFU,subcontractor-payments,Blog Post,2.3,not_started,"Contract clause education — builds trust with audience."
"construction payment application",Informational,MOFU,subcontractor-payments,Blog Post,2.2,not_started,"Broader billing topic — connects to waiver workflow."
"lien waiver software",Commercial,MOFU,software-comparison,Comparison Page,2.8,not_started,"MOFU — users comparing tools. Position ObraKit vs competitors."
"levelset alternative",Commercial,MOFU,software-comparison,Comparison Page,2.9,not_started,"Direct competitor comparison — Levelset is market leader."
"levelset pricing",Commercial,MOFU,software-comparison,Blog Post,2.5,not_started,"Price-sensitive users — compare with ObraKit's pricing."
"siteline vs levelset",Commercial,MOFU,software-comparison,Comparison Page,2.4,not_started,"Insert ObraKit as third option in competitor comparisons."
"best lien waiver software",Commercial,MOFU,software-comparison,Listicle,2.7,not_started,"Listicle format — include ObraKit with unique Spanish angle."
"lien waiver management software",Commercial,MOFU,software-comparison,Comparison Page,2.6,not_started,"Feature-focused search — highlight ObraKit's mobile-first approach."
"que es un lien waiver",Informational,TOFU,spanish-education,Blog Post (ES),3.0,not_started,"ZERO competition in Spanish. #1 priority content piece."
"lien waiver en español",Informational,TOFU,spanish-education,Blog Post (ES),3.0,not_started,"Direct Spanish query — nobody serves this. Massive opportunity."
"formulario lien waiver",Transactional,BOFU,spanish-forms,Landing Page (ES),3.0,not_started,"Spanish transactional — direct product page in Spanish."
"waiver de gravamen construccion",Informational,TOFU,spanish-education,Blog Post (ES),2.9,not_started,"Spanish translation of lien waiver — educational content."
"derechos de pago subcontratista",Informational,TOFU,spanish-education,Blog Post (ES),2.8,not_started,"Payment rights in Spanish — no competition exists."
"como cobrar a un contratista general",Informational,TOFU,spanish-education,Blog Post (ES),2.9,not_started,"How to collect from GC — pain point in Spanish."
"lien waiver California en español",Informational,MOFU,spanish-state-specific,State Page (ES),3.0,not_started,"California + Spanish = ObraKit's #1 target market. Zero competition."
"lien waiver Texas en español",Informational,MOFU,spanish-state-specific,State Page (ES),2.9,not_started,"TX + Spanish — second largest Hispanic contractor market."
"contratista hispano derechos construccion",Informational,TOFU,spanish-education,Blog Post (ES),2.7,not_started,"Hispanic contractor rights — emotional + informational."
"proteger pago construccion subcontratista",Informational,TOFU,spanish-education,Blog Post (ES),2.8,not_started,"Protect your payment — action-oriented Spanish content."
"lien waiver types explained",Informational,MOFU,waiver-types,Blog Post,2.4,not_started,"Overview of all 4 types — comprehensive guide format."
"do I need a lien waiver",Informational,TOFU,lien-waiver-101,Blog Post,2.5,not_started,"Beginner question — FAQ/guide content."
"when to sign a lien waiver",Informational,MOFU,lien-waiver-101,Blog Post,2.6,not_started,"Timing question — advice content builds trust."
"lien waiver vs lien release",Informational,MOFU,lien-waiver-101,Blog Post,2.4,not_started,"Common terminology confusion — featured snippet opportunity."
"construction lien waiver process",Informational,MOFU,lien-waiver-101,Blog Post,2.3,not_started,"Process overview — flowchart/visual content."
"lien waiver for subcontractor final payment",Transactional,BOFU,waiver-types,Landing Page,2.7,not_started,"Specific transaction — ready to generate waiver."
"partial lien waiver",Informational,MOFU,waiver-types,Blog Post,2.3,not_started,"Progress payment variant — links to conditional types."
"lien waiver notarization requirements",Informational,MOFU,lien-waiver-101,Blog Post,2.4,not_started,"TX changed rules in 2022 — timely content."
"states that require lien waiver forms",Informational,MOFU,state-specific,Blog Post,2.6,not_started,"12-state overview — comprehensive reference page."
"construction payment protection",Informational,TOFU,subcontractor-payments,Blog Post,2.3,not_started,"Broader payment protection topic — links to waiver content."
"electronic lien waiver",Commercial,MOFU,software-comparison,Blog Post,2.5,not_started,"Digital transformation angle — position ObraKit as modern solution."
"mobile lien waiver app",Commercial,BOFU,software-comparison,Landing Page,2.8,not_started,"ObraKit's key differentiator — mobile-first for field workers."
"lien waiver app for subcontractors",Commercial,BOFU,software-comparison,Landing Page,2.9,not_started,"Exact product description — highest intent."
"construction compliance software",Commercial,MOFU,software-comparison,Blog Post,2.2,not_started,"Broader category — drives awareness for ObraKit features."
